RSSI,Location,Distance from Origin,Pixel x, Pixel y
81,Admission Cell,6,280,515
77,Admission Cell,12,255,510
69,Admission Cell,18,215,515
89,Staff Cubicle 1,24,180,525
90,Staff Cubicle 2,30,140,510
