RSSI,Location,Distance from Origin,Pixel x, Pixel y
81,Admission Cell,6,280,515
70,Admission Cell,12,255,510
81,Admission Cell,18,215,515
75,Staff Cubicle 1,24,180,525
88,Staff Cubicle 2,30,140,510
